Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
  0.00     38.36     0.00       18     0.00     0.00  sc_core::sc_fifo_in_if<Image_s>** std::uninitialized_copy<sc_core::sc_fifo_in_if<Image_s>**, sc_core::sc_fifo_in_if<Image_s>**>(sc_core::sc_fifo_in_if<Image_s>**, sc_core::sc_fifo_in_if<Image_s>**, sc_core::sc_fifo_in_if<Image_s>**)
  0.00     38.36     0.00       18     0.00     0.00  sc_core::sc_fifo_in_if<Image_s>** std::__uninitialized_copy_a<sc_core::sc_fifo_in_if<Image_s>**, sc_core::sc_fifo_in_if<Image_s>**, sc_core::sc_fifo_in_if<Image_s>*>(sc_core::sc_fifo_in_if<Image_s>**, sc_core::sc_fifo_in_if<Image_s>**, sc_core::sc_fifo_in_if<Image_s>**, std::allocator<sc_core::sc_fifo_in_if<Image_s>*>&)
  0.00     38.36     0.00       18     0.00     0.00  sc_core::sc_fifo_in_if<Image_s>** std::__uninitialized_move_a<sc_core::sc_fifo_in_if<Image_s>**, sc_core::sc_fifo_in_if<Image_s>**, std::allocator<sc_core::sc_fifo_in_if<Image_s>*> >(sc_core::sc_fifo_in_if<Image_s>**, sc_core::sc_fifo_in_if<Image_s>**, sc_core::sc_fifo_in_if<Image_s>**, std::allocator<sc_core::sc_fifo_in_if<Image_s>*>&)
  0.00     38.36     0.00       18     0.00     0.00  sc_core::sc_fifo_in_if<Image_s>** std::copy<sc_core::sc_fifo_in_if<Image_s>**, sc_core::sc_fifo_in_if<Image_s>**>(sc_core::sc_fifo_in_if<Image_s>**, sc_core::sc_fifo_in_if<Image_s>**, sc_core::sc_fifo_in_if<Image_s>**)
  0.00     38.36     0.00       18     0.00     0.00  void std::_Destroy<sc_core::sc_fifo_in_if<Image_s>**>(sc_core::sc_fifo_in_if<Image_s>**, sc_core::sc_fifo_in_if<Image_s>**)
  0.00     38.36     0.00       18     0.00     0.00  void std::_Destroy<sc_core::sc_fifo_in_if<Image_s>**, sc_core::sc_fifo_in_if<Image_s>*>(sc_core::sc_fifo_in_if<Image_s>**, sc_core::sc_fifo_in_if<Image_s>**, std::allocator<sc_core::sc_fifo_in_if<Image_s>*>&)
  0.00     38.36     0.00       16     0.00     0.00  __gnu_cxx::__normal_iterator<sc_core::sc_fifo_out_if<Image_s>**, std::vector<sc_core::sc_fifo_out_if<Image_s>*, std::allocator<sc_core::sc_fifo_out_if<Image_s>*> > >::__normal_iterator(sc_core::sc_fifo_out_if<Image_s>** const&)
  0.00     38.36     0.00       16     0.00     0.00  __gnu_cxx::__normal_iterator<sc_core::sc_fifo_out_if<Simage_s>**, std::vector<sc_core::sc_fifo_out_if<Simage_s>*, std::allocator<sc_core::sc_fifo_out_if<Simage_s>*> > >::__normal_iterator(sc_core::sc_fifo_out_if<Simage_s>** const&)
  0.00     38.36     0.00       16     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_out_if<Image_s>*, std::allocator<sc_core::sc_fifo_out_if<Image_s>*> >::_M_get_Tp_allocator() const
  0.00     38.36     0.00       16     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_out_if<Simage_s>*, std::allocator<sc_core::sc_fifo_out_if<Simage_s>*> >::_M_get_Tp_allocator() const
